n,r,m
"(:Character {id: Cottus, label: Cottus, type: Hecatoncheires})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Cottus, label: Cottus, type: Hecatoncheires})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Cottus, label: Cottus, type: Hecatoncheires})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Otus, label: Otus, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Otus, label: Otus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Otus, label: Otus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Peloreus, label: Peloreus, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Peloreus, label: Peloreus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Peloreus, label: Peloreus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Colophonus, label: Colophonus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Colophonus, label: Colophonus, type: Giants})",[:RELATED {type: father}],"(:Character {id: Tartarus, label: Tartarus, type: Greek primordial deity})"
"(:Character {id: Colophonus, label: Colophonus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Corydon, label: Corydon, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Corydon, label: Corydon, type: Giants})",[:RELATED {type: father}],"(:Character {id: Tartarus, label: Tartarus, type: Greek primordial deity})"
"(:Character {id: Corydon, label: Corydon, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Effra, label: Effra, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Effra, label: Effra, type: Giants})",[:RELATED {type: father}],"(:Character {id: Tartarus, label: Tartarus, type: Greek primordial deity})"
"(:Character {id: Effra, label: Effra, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Halie, label: Halie, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Thalassa, label: Thalassa, type: Greek primordial deity})"
"(:Character {id: Halie, label: Halie, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Pontus, label: Pontus, type: Greek primordial deity})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Athena, label: Athena, type: Olympian god})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Athena, label: Athena, type: goddess})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: father}],"(:Character {id: Tartarus, label: Tartarus, type: Greek primordial deity})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Athena, label: Athena, type: Greek deity})"
"(:Character {id: Enceladus, label: Enceladus, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Damysos, label: Damysos, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Damysos, label: Damysos, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Damysos, label: Damysos, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Alpos, label: Alpos, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})"
"(:Character {id: Alpos, label: Alpos, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Alpos, label: Alpos, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Alpos, label: Alpos, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Dionysus, label: Dionysus, type: nature deity})"
"(:Character {id: Alpos, label: Alpos, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Mimas, label: Mimas, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})"
"(:Character {id: Mimas, label: Mimas, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Mimas, label: Mimas, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Mimas, label: Mimas, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Clytius, label: Clytius, type: Giants})",[:RELATED {type: killed by}],"(:Character {id: Hecate, label: Hecate, type: goddess})"
"(:Character {id: Clytius, label: Clytius, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Clytius, label: Clytius, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Clytius, label: Clytius, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Aura, label: Aura, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Periboea, label: Periboea, type: Greek nymph})"
"(:Character {id: Aura, label: Aura, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Orithyia, label: Orithyia, type: Greek nymph})"
"(:Character {id: Aura, label: Aura, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Lelantos, label: Lelantos, type: titan})"
"(:Character {id: Aura, label: Aura, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Boreas, label: Boreas, type: personification})"
"(:Character {id: Aura, label: Aura, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Periboea, label: Periboea, type: water deity})"
"(:Character {id: Aura, label: Aura, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Orithyia, label: Orithyia, type: Greek water deities})"
"(:Character {id: Hyrpace, label: Hyrpace, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Boreas, label: Boreas, type: personification})"
"(:Character {id: Thoosa, label: Thoosa, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Phorcys, label: Phorcys, type: chthonic deities})"
"(:Character {id: Thoosa, label: Thoosa, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Ceto, label: Ceto, type: Greek water deities})"
"(:Character {id: Thoosa, label: Thoosa, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Ceto, label: Ceto, type: water deity})"
"(:Character {id: Polemos, label: Polemos, type: personification})",[:RELATED {type: sibling}],"(:Character {id: Enyo, label: Enyo, type: war deity})"
"(:Character {id: Polemos, label: Polemos, type: personification})",[:RELATED {type: spouse}],"(:Character {id: Hybris, label: Hybris, type: daemon})"
"(:Character {id: Polemos, label: Polemos, type: personification})",[:RELATED {type: father}],"(:Character {id: Phorcys, label: Phorcys, type: chthonic deities})"
"(:Character {id: Polemos, label: Polemos, type: personification})",[:RELATED {type: sibling}],"(:Character {id: Enyo, label: Enyo, type: Greek deity})"
"(:Character {id: Eurymedon, label: Eurymedon, type: Giants})",[:RELATED {type: father}],"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})"
"(:Character {id: Eurymedon, label: Eurymedon, type: Giants})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Eurymedon, label: Eurymedon, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Eurymedon, label: Eurymedon, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Cabeiro, label: Cabeiro, type: Greek nymph})"
"(:Character {id: Eurymedon, label: Eurymedon, type: Giants})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Cronus, label: Cronus, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Rhea, label: Rhea, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Hyperion, label: Hyperion, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Iapetos, label: Iapetos, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Theia, label: Theia, type: titan})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Oceanus, label: Oceanus, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Tethys, label: Tethys, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Tethys, label: Tethys, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
